acronym,full_form,canonical_brand,score_hint,risk_level,category,notes
msft,microsoft corporation,microsoft,85,medium,tech,Stock ticker; widely accepted
ms,microsoft,microsoft,70,medium,tech,2-char; ambiguous with Morgan Stanley; use with context
aws,amazon web services,amazon,85,medium,tech,Cloud platform; universally recognized
ibm,international business machines,ibm,85,medium,tech,Company itself is an acronym
sap,systeme anwendungen produkte,sap,85,medium,tech,German acronym for SAP SE
hpe,hewlett packard enterprise,hpe,85,medium,tech,Split from HP 2015
hp,hp inc,hp,70,high,tech,Very short; high ambiguity
amd,advanced micro devices,amd,85,medium,tech,CPU/GPU brand
ge,general electric,ge,70,high,industrial,2-char acronym; very ambiguous per rules
ge healthcare,ge healthcare,ge healthcare,85,medium,pharma,Spun off 2023; longer form is less ambiguous
bms,bristol myers squibb,bristol myers squibb,85,low,pharma,Pharma abbreviation; distinctive in context
jnj,johnson & johnson,johnson & johnson,85,low,pharma,Stock ticker; widely used
jpm,jpmorgan chase,jpmorgan chase,85,medium,financial,Stock ticker; finance context
bac,bank of america,bank of america,85,medium,financial,Stock ticker
wfc,wells fargo,wells fargo,85,medium,financial,Stock ticker
gs,goldman sachs,goldman sachs,85,medium,financial,Stock ticker; context needed
ubs,union bank of switzerland,ubs,85,medium,financial,Company itself is an acronym; Swiss investment bank
bnp,banque nationale de paris,bnp paribas,85,medium,financial,French bank abbreviation
ing,internationale nederlanden groep,ing,85,medium,financial,Dutch conglomerate abbreviation
hsbc,hongkong and shanghai banking corporation,hsbc,85,medium,financial,Full expansion rarely used
rbc,royal bank of canada,rbc,85,medium,financial,Canadian bank acronym
bmo,bank of montreal,bmo,85,medium,financial,Canadian bank acronym
cibc,canadian imperial bank of commerce,cibc,85,medium,financial,Canadian bank acronym
icbc,industrial and commercial bank of china,icbc,85,medium,financial,Chinese state bank acronym
mufg,mitsubishi ufj financial group,mufg,85,medium,financial,Japanese banking acronym
aig,american international group,aig,85,medium,financial,US insurance acronym
ppg,pittsburgh plate glass,ppg,85,low,chemical,Former full name; now just PPG Industries
3m,minnesota mining and manufacturing,3m,85,medium,industrial,Alphanumeric brand name
abb,asea brown boveri,abb,85,medium,industrial,Swiss-Swedish industrial acronym
uop,universal oil products,honeywell,85,medium,industrial,Honeywell process technology subsidiary
gsk,glaxosmithkline,gsk,85,low,pharma,Pharma company itself is an acronym
bp,british petroleum,bp,70,high,energy,2-char acronym; high risk per rules
edf,electricite de france,edf,85,medium,energy,French state utility acronym
rwe,rheinisch westfalisches elektrizitatswerk,rwe,85,medium,energy,German utility acronym
eni,ente nazionale idrocarburi,eni,85,medium,energy,Italian national energy company acronym
