category,keyword
english,services
english,service
english,technology
english,technologies
english,association
english,society
english,community
english,foundation
english,institute
english,university
english,college
english,academy
english,school
english,hospital
english,clinic
english,center
english,centre
english,laboratory
english,lab
english,labs
english,consulting
english,group
english,holdings
english,company
english,business
english,enterprise
english,research
english,development
english,logistics
english,transport
english,shipping
english,trading
english,marketing
english,publishing
english,media
english,events
english,solutions
english,systems
english,software
english,data
english,digital
english,electronics
english,automation
english,engineering
english,materials
english,chemical
english,chemicals
english,pharma
english,pharmaceutical
english,medical
english,healthcare
english,biotech
english,bio
english,scientific
english,science
english,industrial
english,manufacturing
english,production
english,packaging
english,cargo
english,express
english,energy
english,power
english,water
english,environment
english,green
english,global
english,international
english,national
german,gesellschaft
german,unternehmen
german,gruppe
german,holding
german,verein
german,stiftung
german,institut
german,universität
german,universitaet
german,hochschule
german,akademie
german,krankenhaus
german,klinik
german,zentrum
german,labor
german,dienstleistung
german,dienstleistungen
german,beratung
german,handel
german,vertrieb
german,technik
german,technologie
german,forschung
german,entwicklung
german,logistik
german,spedition
french,société
french,societe
french,association
french,groupe
french,fondation
french,institut
french,université
french,universite
french,école
french,ecole
french,hôpital
french,hopital
french,clinique
french,centre
french,laboratoire
french,services
french,conseil
french,technologie
french,technique
french,recherche
french,développement
french,developpement
french,commerce
french,distribution
french,logistique
spanish_portuguese,sociedad
spanish_portuguese,associacion
spanish_portuguese,asociación
spanish_portuguese,associacao
spanish_portuguese,associação
spanish_portuguese,grupo
spanish_portuguese,fundacion
spanish_portuguese,fundación
spanish_portuguese,instituto
spanish_portuguese,universidad
spanish_portuguese,colegio
spanish_portuguese,escuela
spanish_portuguese,hospital
spanish_portuguese,clinica
spanish_portuguese,clínica
spanish_portuguese,centro
spanish_portuguese,laboratorio
spanish_portuguese,servicios
spanish_portuguese,servico
spanish_portuguese,serviço
spanish_portuguese,consultoria
spanish_portuguese,tecnologia
spanish_portuguese,tecnología
spanish_portuguese,investigacion
spanish_portuguese,investigación
spanish_portuguese,desarrollo
spanish_portuguese,comercio
spanish_portuguese,distribucion
spanish_portuguese,distribución
spanish_portuguese,logistica
spanish_portuguese,logística
italian,societa
italian,società
italian,associazione
italian,gruppo
italian,fondazione
italian,istituto
italian,universita
italian,università
italian,scuola
italian,ospedale
italian,clinica
italian,centro
italian,laboratorio
italian,servizi
italian,consulenza
italian,tecnologia
italian,tecnico
italian,ricerca
italian,sviluppo
italian,commercio
italian,distribuzione
italian,logistica
dutch_nordic,maatschappij
dutch_nordic,vereniging
dutch_nordic,stichting
dutch_nordic,instituut
dutch_nordic,universiteit
dutch_nordic,hogeschool
dutch_nordic,ziekenhuis
dutch_nordic,kliniek
dutch_nordic,centrum
dutch_nordic,laboratorium
dutch_nordic,diensten
dutch_nordic,advies
dutch_nordic,technologie
dutch_nordic,onderzoek
dutch_nordic,ontwikkeling
dutch_nordic,handel
dutch_nordic,distributie
dutch_nordic,logistiek
dutch_nordic,selskab
dutch_nordic,aktiebolag
dutch_nordic,aksjeselskap
common,green
common,blue
common,red
common,white
common,black
common,golden
common,silver
common,new
common,prime
common,advanced
common,global
common,international
common,national
common,regional
common,local
common,city
common,capital
common,union
common,united
english,private
english,partner
english,product
english,products
english,biological
english,biologics
english,medicine
english,medicines
english,excellence
english,executive
english,executives
english,ingredients
english,ingredient
english,speciality
english,specialty
english,intermediate
english,intermediates
english,organics
english,organic
english,coating
english,coatings
english,compound
english,compounds
english,platform
english,platforms
english,network
english,networks
english,analytics
english,analysis
english,innovation
english,innovations
english,property
english,properties
english,asset
english,assets
english,surface
english,surfaces
english,composite
english,composites
english,nutrition
english,nutritional
german,industrie
german,industrien
german,elektronik
german,medizin
german,medizinische
german,exzellenz
german,partner
german,privat
german,inhaber
german,nachhaltigkeit
french,industrie
french,partenaire
french,excellence
french,privé
french,prive
spanish_portuguese,industria
spanish_portuguese,excelencia
spanish_portuguese,socio
spanish_portuguese,privado
italian,industria
italian,eccellenza
italian,socio
italian,privato
regulatory,reach
regulatory,task
regulatory,force
regulatory,taskforce
regulatory,consortium
regulatory,working
regulatory,committee
regulatory,council
regulatory,regulatory
regulatory,regulation
regulatory,regulations
german,gastronomie
english,communication
english,communications
english,chem
english,chemistry
english,industry
english,council
english,councils
english,workinggroup
english,taskforce
english,taskforces
english,consortia
english,biologicals
english,support
english,supports
english,factory
english,molecular
english,avisor
english,food
english,foods
german,technologien
german,technische
german,messtechnik
german,industrie
german,industrien
german,gastronomie
french,conseils
spanish_portuguese,consejo
spanish_portuguese,conselho
spanish_portuguese,industria
italian,consiglio
english,gastro
location,tuebingen
location,tubingen
location,freiburg
location,heidelberg
location,mainz
location,wiesbaden
location,aachen
location,bochum
location,essen
location,karlsruhe
location,kiel
location,bielefeld
location,bonn
location,magdeburg
location,erfurt
location,stuttgart
location,dortmund
location,edinburgh
